fid,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,startpoint,Endpoint,POSIZIONE,path,Distanza,output_distanza in metri,output_speed km/h,output_tempo percorrenza in secondi
1,147950966,5115,tertiary,Cavalcavia Alcide De Gasperi,,F,0,1,T,F,"40.6326907,17.9417864","40.6305137,17.9397958",,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CAVALCAVIA.gpkg|layername=final_layer210524,296.784051706182,296,29,37
2,34024914,5115,tertiary,Cavalcavia Alcide De Gasperi,,F,0,1,T,F,"40.6304466,17.9398572","40.6326582,17.9418449",,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CAVALCAVIA.gpkg|layername=final_layer210524,299.774882109789,300,21,51
3,34063499,5115,tertiary,Corso Roma,,B,0,0,F,F,"40.6327765,17.9418998","40.6333678,17.9424338",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,79.7044620700969,79,24,12
4,34063502,5121,unclassified,Corso Roma,,F,0,0,F,F,"40.6355363,17.944474","40.636799,17.9456473",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,171.797118230388,167,17,36
5,34063503,5115,tertiary,Via Conserva,,F,0,0,F,F,"40.6350416,17.9447761","40.6355363,17.944474",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,60.5887542743356,58,19,11
6,34149880,5121,unclassified,Piazza Vittorio Emanuele II,,F,0,0,F,F,"40.6394855,17.9481199","40.6399352,17.9485625",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,62.4760599658692,60,15,14
7,34149881,5121,unclassified,Piazza Vittorio Emanuele II,,F,0,0,F,F,"40.6399352,17.9485625","40.6402126,17.9482732",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,41.5457013143019,38,15,9
8,147850823,5115,tertiary,Cavalcavia Alcide De Gasperi,,F,0,0,F,F,"40.6327765,17.9418998","40.6326907,17.9417864",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,13.5210292954077,24,29,3
9,147950975,5115,tertiary,Cavalcavia Alcide De Gasperi,,F,0,0,F,F,"40.6326582,17.9418449","40.6327765,17.9418998",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,13.9337187850989,15,14,4
10,263375140,5115,tertiary,Via Porta Lecce,,F,30,0,F,F,"40.6331085,17.9457904","40.6350416,17.9447761",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,231.235318131338,232,21,39
11,263375142,5115,tertiary,Via Porta Lecce,,F,0,0,F,F,"40.632145,17.9461589","40.6325866,17.9460503",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,50.1945519415477,54,24,8
12,263943845,5121,unclassified,Piazza Vittorio Emanuele II,,F,0,0,F,F,"40.6402126,17.9482732","40.6398219,17.947574",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,73.5519520889763,74,16,17
13,264441358,5115,tertiary,Via Nazario Sauro,,F,0,0,F,F,"40.6317907,17.9437119","40.6321603,17.9431823",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,78.9390206250295,77,13,21
14,265859409,5115,tertiary,Via Nazario Sauro,,F,0,0,F,F,"40.6321603,17.9431823","40.6317846,17.9436522",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,63.3939752630396,66,18,13
